File,Category,Links,Link_Rating,Depth_KB,Depth_Rating,Structure_Score,Structure_Rating,Meta_Score,Meta_Rating,Weakness_Count,Weak_Dimensions,Has_ArticleBody,Has_PageHero,Has_GraceWarning,Has_NavJS,Has_GlobalCSS,Has_Description,Has_OgTitle,Has_Canonical
for-hurting.html,for,14,STRONG,20,DEEP,3,PARTIAL,2,PARTIAL,2,structure; meta,False,False,True,True,True,True,True,False
objection-author-of-sin.html,objection,7,WEAK,45,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
devotional-never-gives-up.html,devotional,6,WEAK,28,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
ot-joseph.html,ot,6,WEAK,46,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
philosophy-phantom-limb-free-will.html,philosophy,6,WEAK,33,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
story-the-dead-city.html,story,6,WEAK,35,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
demolition-1john2-2.html,demolition,5,WEAK,50,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
secular-ai-determinism.html,secular,5,WEAK,24,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
philosophy-mirror-you-refuse.html,philosophy,3,WEAK,27,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
philosophy-problem-of-merit.html,philosophy,3,WEAK,30,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
devotional-forever-loved.html,devotional,2,WEAK,34,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-sincerity-trap.html,psychology,2,WEAK,25,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-why-this-objection-proves-our-point.html,psychology,2,WEAK,24,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
devotional-adoption-papers.html,devotional,1,WEAK,28,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
philosophy-exclusive-love.html,philosophy,1,WEAK,26,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
story-the-person-who-chose-god.html,story,1,WEAK,24,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
analogy-adoption.html,analogy,0,WEAK,36,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
analogy-chess-grandmaster.html,analogy,0,WEAK,43,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
analogy-doctor-corpse.html,analogy,0,WEAK,45,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
analogy-lazarus-grave.html,analogy,0,WEAK,42,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
analogy-light-switch.html,analogy,0,WEAK,39,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
analogy-river.html,analogy,0,WEAK,19,MODERATE,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
anxious-mind-intrusive-thoughts.html,anxious,0,WEAK,25,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
anxious-mind-scrupulosity.html,anxious,0,WEAK,24,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
apologetic-babies.html,apologetic,0,WEAK,47,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
apologetic-perseverance.html,apologetic,0,WEAK,27,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
apologetic-unreached.html,apologetic,0,WEAK,26,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
broken-mirror-grace-too-good.html,broken,0,WEAK,29,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
compare-calvinism-arminianism.html,compare,0,WEAK,74,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
compare-calvinism-catholic-soteriology.html,compare,0,WEAK,49,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
compare-calvinism-molinism.html,compare,0,WEAK,35,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
compare-calvinism-open-theism.html,compare,0,WEAK,48,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
compare-monergism-synergism.html,compare,0,WEAK,34,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
compare-predestination-foreknowledge.html,compare,0,WEAK,41,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
connections.html,connections,0,WEAK,109,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
counter-cs-lewis-free-will.html,counter,0,WEAK,46,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
creed-canons-dort.html,creed,0,WEAK,61,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
creed-heidelberg-catechism.html,creed,0,WEAK,44,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
debate-free-will.html,debate,0,WEAK,53,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
demolition-arianism.html,demolition,0,WEAK,29,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
demolition-arminian-facts.html,demolition,0,WEAK,36,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
demolition-ezekiel18-23.html,demolition,0,WEAK,48,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
demolition-john12-32.html,demolition,0,WEAK,30,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
demolition-joshua24-15.html,demolition,0,WEAK,41,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
demolition-matthew-23-37.html,demolition,0,WEAK,33,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
demolition-orthodox-predestination.html,demolition,0,WEAK,42,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
demolition-rev3-20.html,demolition,0,WEAK,43,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
devotional-cold-church.html,devotional,0,WEAK,23,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
devotional-in-christ.html,devotional,0,WEAK,25,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
devotional-love-letter-before-time.html,devotional,0,WEAK,24,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
devotional-my-chains-fell-away.html,devotional,0,WEAK,28,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
devotional-not-my-will-but-joy.html,devotional,0,WEAK,26,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
devotional-rescued-without-a-say.html,devotional,0,WEAK,31,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
devotional-the-god-who-wastes-nothing.html,devotional,0,WEAK,19,MODERATE,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
devotional-the-prayer-you-didnt-pray.html,devotional,0,WEAK,19,MODERATE,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
explore-map.html,explore,0,WEAK,49,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
freedom.html,freedom,0,WEAK,33,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-20th-century.html,history,0,WEAK,35,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-apostolic.html,history,0,WEAK,27,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-augustine-pelagius.html,history,0,WEAK,45,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-calvin-geneva.html,history,0,WEAK,31,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-confessions-story.html,history,0,WEAK,34,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-dort.html,history,0,WEAK,56,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-golden-thread.html,history,0,WEAK,41,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-great-awakening.html,history,0,WEAK,49,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-luther.html,history,0,WEAK,28,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-medieval.html,history,0,WEAK,27,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-puritans.html,history,0,WEAK,38,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-spurgeon-downgrade.html,history,0,WEAK,49,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
history-today.html,history,0,WEAK,33,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
invisible-wall-singing-alone.html,invisible,0,WEAK,25,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
objection-desire.html,objection,0,WEAK,41,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
objection-love.html,objection,0,WEAK,36,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
objection-responsibility.html,objection,0,WEAK,43,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
open-wound-betrayed-by-church.html,open,0,WEAK,23,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
open-wound-empty-nursery.html,open,0,WEAK,25,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
open-wound-hospital-room.html,open,0,WEAK,20,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
open-wound-miscarriage.html,open,0,WEAK,22,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
open-wound-sovereignty-in-grief.html,open,0,WEAK,26,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
ot-election.html,ot,0,WEAK,28,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
ot-isaiah-servant.html,ot,0,WEAK,41,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
ot-job.html,ot,0,WEAK,43,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
ot-prophets-remnant.html,ot,0,WEAK,37,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
pastoral-evangelism.html,pastoral,0,WEAK,36,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
pastoral-prayer.html,pastoral,0,WEAK,31,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
pastoral-suffering.html,pastoral,0,WEAK,33,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
philosophy-munchhausen-trilemma.html,philosophy,0,WEAK,24,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
privacy.html,privacy,0,WEAK,12,MODERATE,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psalms-election.html,psalms,0,WEAK,28,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-addiction-proof.html,psychology,0,WEAK,25,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-attribution-error.html,psychology,0,WEAK,34,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-autonomy-illusion.html,psychology,0,WEAK,51,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-backfire-effect.html,psychology,0,WEAK,21,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-fear-control.html,psychology,0,WEAK,29,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-groupthink.html,psychology,0,WEAK,47,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-identity-threat.html,psychology,0,WEAK,21,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-illusion-free-will.html,psychology,0,WEAK,33,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-reactance-theory.html,psychology,0,WEAK,25,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-stockholm-syndrome-sin.html,psychology,0,WEAK,28,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-sunk-cost-faith.html,psychology,0,WEAK,22,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-system-justification.html,psychology,0,WEAK,29,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
psychology-why-we-resist.html,psychology,0,WEAK,63,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-1peter1.html,question,0,WEAK,63,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-acts.html,question,0,WEAK,45,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-acts4.html,question,0,WEAK,50,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-boasting.html,question,0,WEAK,54,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-chosen.html,question,0,WEAK,43,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-dead-bury-dead.html,question,0,WEAK,30,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-depravity.html,question,0,WEAK,64,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-external-call.html,question,0,WEAK,31,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-external-internal-call.html,question,0,WEAK,33,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-faithgift.html,question,0,WEAK,46,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-foreknowledge.html,question,0,WEAK,40,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-freewill.html,question,0,WEAK,46,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-godwants.html,question,0,WEAK,40,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-goldchain.html,question,0,WEAK,42,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-hardening.html,question,0,WEAK,31,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
question-irresistible.html,question,0,WEAK,70,DEEP,4,PARTIAL,3,GOOD,2,links; structure,False,True,True,True,True,True,True,True
